,Section Text
10,"An agreement made without consideration is void, unlessâ€”
(1) it is expressed in writing and registered under the law for the time being in force for the registration of 1[documents], and is made on account of natural love and affection between parties standing in a near relation to each other ; or unless
(2) it is a promise to compensate, wholly or in part, a person who has already voluntarily done something for the promisor, or something which the promisor was legally compellable to do; or unless;
(3) it is a promise, made in writing and signed by the person to be charged therewith, or by his agent generally or specially authorized in that behalf, to pay wholly or in part a debt of which the creditor might have enforced payment but for the law for the limitation of suits. In any of these cases, such an agreement is a contract. Explanation 1.â€”Nothing in this section shall affect the validity, as between the donor and donee, of any gift actually made. Explanation 2.â€”An agreement to which the consent of the promisor is freely given is not void merely because the consideration is inadequate; but the inadequacy of the consideration may be taken into account by the Court in determining the question whether the consent of the promisor was freely given. Illustrations (a) A promises, for no consideration, to give to B Rs. 1,000. This is a void agreement. (b) A, for natural love and affection, promises to give his son, B, Rs. 1,000. A puts his promise to B into writing and registers it. This is a contract. (c) A finds Bâ€Ÿs purse and gives it to him. B promises to give A Rs. 50. This is a contract. (d) A supports Bâ€Ÿs infant son. B promises to pay Aâ€Ÿs expenses in so doing. This is a contract. (e) A owes B Rs. 1,000, but the debt is barred by the Limitation Act. A signs a written promise to pay B Rs. 500 on account of the debt. This is a contract. (f) A agrees to sell a horse worth Rs. 1,000 for Rs. 10. Aâ€Ÿs consent to the agreement was freely given. The agreement is a contract notwithstanding the inadequacy of the consideration. (g) A agrees to sell a horse worth Rs. 1,000 for Rs. 10. A denies that his consent to the agreement was freely given. The inadequacy of the consideration is a fact which the Court should take into account in considering whether or not Aâ€Ÿs consent was freely given.
"
11,"Every agreement in restraint of the marriage of any person, other than a minor, is void.
"
12,"Every agreement by which any one is restrained from exercising a lawful profession, trade or business of any kind, is to that extent void. Exception 1.â€”Saving of agreement not to carry on business of which good-will is sold.â€”One who sells the good-will of a business may agree with the buyer to refrain from carrying on a similar business, within specified local limits, so long as the buyer, or any person deriving title to the good-will from him, carries on a like business therein, provided that such limits appear to the Court reasonable, regard being had to the nature of the business. 1* * * * *.
"
13,"2[Every agreement,â€” (a) by which any party thereto is restricted absolutely from enforcing his rights under or in respect of any contract, by the usual legal proceedings in the ordinary tribunals, or which limits the time within which he may thus enforce his rights; or (b) which extinguishes the rights of any party thereto, or discharges any party thereto, from any liability, under or in respect of any contract on the expiry of a specified period so as to restrict any party from enforcing his rights, is void to the extent.] Exception 1.â€”Saving of contract to refer to arbitration dispute that may arise.â€”This section shall not render illegal a contract, by which two or more persons agree that any dispute which may arise between them in respect of any subject or class of subjects shall be referred to arbitration, and that only the amount awarded in such arbitration shall be recoverable in respect of the dispute so referred. 3***** Exception 2.â€”Saving of contract to refer questions that have already arisen.â€”Nor shall this section render illegal any contract in writing, by which two or more persons agree to refer to arbitration any question between them which has already arisen, or affect any provision of any law in force for the time being as to references to arbitration4.
1[Exception 3.â€”Saving of a guarantee agreement of a bank or a financial institution.â€”This section shall not render illegal a contract in writing by which any bank or financial institution stipulate a term in a guarantee or any agreement making a provision for guarantee for extinguishment of the rights or discharge of any party thereto from any liability under or in respect of such guarantee or agreement on the expiry of a specified period which is not less than one year from the date of occurring or non-occurring of a specified event for extinguishment or discharge of such party from the said liability.
Explanation.â€”(i) In Exception 3, the expression â€œbankâ€ meansâ€”
(a) a â€œbanking companyâ€ as defined in clause (c) of section 5 of the Banking Regulation Act, 1949(10 of 1949);
(b) â€œa corresponding new bankâ€ as defined in clause (da) of section 5 of the Banking Regulation Act, 1949(10 of 1949);
(c) â€œState Bank of Indiaâ€ constituted under section 3 of the State Bank of India Act, 1955 (23 of 1955);
(d) â€œa subsidiary bankâ€ as defined in clause (k) of section 2 of the State Bank of India (Subsidiary Banks) Act, 1959(38 of 1959);
(e) â€œa Regional Rural Bankâ€ established under section 3 of the Regional Rural Banks Act, 1976(21 of 1976);
(f) â€œa Co-operative Bankâ€ as defined in clause (cci) of section 5 of the Banking Regulation Act, 1949(10 of 1949);
(g) â€œa multi-State co-operative bankâ€ as defined in clause (cciiia) of section 5 of the Banking Regulation Act, 1949(10 of 1949); and
(ii) In Exception 3, the expression â€œa financial institutionâ€ means any public financial institution within the meaning of section 4A of the Companies Act, 1956(1 of 1956).]
"
14,"Agreements, the meaning of which is not certain, or capable of being made certain, are void.
Illustrations
(a) A agrees to sell to B â€œa hundred tons of oilâ€. There is nothing whatever to show what kind of oil was intended. The agreement is void for uncertainty.
(b) A agrees to sell to B one hundred tons of oil of a specified description, known as an article of commerce. There is no uncertainty here to make the agreement void.
(c) A, who is a dealer in cocoanut-oil only, agrees to sell to B â€œone hundred tons of oilâ€. The nature of Aâ€Ÿs trade affords an indication of the meaning of the words, and A has entered into a contract for the sale of one hundred tons of cocoanut-oil.
(d) A agrees to sell to B â€œall the grain in my granary at Ramnagarâ€. There is no uncertainty here to make the agreement void.
(e) A agrees to sell B â€œone thousand maunds of rice at a price to be fixed by Câ€. As the price is capable of being made certain, there is no uncertainty here to make the agreement void.
(f) A agrees to sell to B â€œmy white horse for rupees five hundred or rupees one thousandâ€. There is nothing to show which of the two prices was to be given. The agreement is void.
"
15,"Agreements by way of wager are void; and no suit shall be brought for recovering anything alleged to be won on any wager, or entrusted to any person to abide the result of any game or other uncertain event on which any wager is made.
Exception in favour of certain prizes for horse-racing.â€”This section shall not be deemed to render unlawful a subscription or contribution, or agreement to subscribe or contribute, made or entered into for or toward any plate, prize or sum of money, of the value or amount of five hundred rupees or upwards, to be awarded to the winner or winners of any horse-race.
Section 294A of the Indian Penal Code not affected.â€”Nothing in this section shall be deemed to legalize any transaction connected with horse-racing, to which the provisions of section 294A of the Indian Penal Code (45 of 1860) apply.
"
16,"A â€œcontingent contract is a contract to do or not to do something, if some event, collateral to such contract, does or does not happen.
Illustration
A contracts to pay B Rs. 10,000 if Bâ€Ÿs house is burnt. This is a contingent contract.
"
17,"Contingent contracts to do or not to do anything if an uncertain future event happens cannot be enforced by law unless and until that event has happened.
If the event becomes impossible, such contracts become void.
Illustrations
(a) A makes a contract with B to buy Bâ€Ÿs horse if A survives C. This contract cannot be enforced by law unless and until C dies in Aâ€Ÿs lifetime.
(b) A makes a contract with B to sell a horse to B at a specified price, if C, to whom the horse has been offered, refuses to buy him. The contract cannot be enforced by law unless and until C refuses to buy the horse.
(c) A contracts to pay B a sum of money when B marries C. C dies without being married to B. The contract becomes void.
"
18,"Contingent contracts to do or not to do anything if an uncertain future event does not happen can be enforced when the happening of that event becomes impossible, and not before.
Illustration
A agrees to pay B a sum of money if a certain ship does not return. The ship is sunk. The contract can be enforced when the ship sinks.
"
19,"If the future event on which a contract is contingent is the way in which a person will act at an unspecified time, the event shall be considered to become impossible when such person does anything which renders it impossible that he should so act within any definite time, or otherwise than under further contingencies.
Illustration
A agrees to pay B a sum of money if B marries C. C marries D. The marriage of B to C must now be considered impossible, although it is possible that D may die and that C may afterwards marry B.
"
20,"Contingent contracts to do or not to do anything if a specified uncertain event happens within a fixed time become void if, at the expiration of the time fixed, such event has not happened, or if, before the time fixed, such event becomes impossible.
When contracts may be enforced, which are contingent on specified event not happening within fixed time.â€”Contingent contracts to do or not to do anything, if a specified uncertain event does not happen within a fixed time may be enforced by law when the time fixed has expired and such event has not happened or, before the time fixed has expired, if it becomes certain that such event will not happen.
Illustrations
(a) A promises to pay B a sum of money if a certain ship returns within a year. The contract may be enforced if the ship returns within the year, and becomes void if the ship is burnt within the year.
(b) A promises to pay B a sum of money if a certain ship does not return within a year. The contract may be enforced if the ship does not return within the year, or is burnt within the year.
"
21,"Contingent agreements to do or not to do anything, if an impossible event happens, are void, whether the impossibility of the event is known or not to the parties to the agreement at the time when it is made.
Illustrations
(a) A agrees to pay B 1,000 rupees if two straight lines should enclose a space. The agreement is void.
(b) A agrees to pay B 1,000 rupees if B will marry Aâ€Ÿs daughter C. C was dead at the time of the agreement. The agreement is void.
"
22,"The parties to a contract must either perform, or offer to perform, their respective promises, unless such performance is dispensed with or excused under the provisions of this Act, or of any other law.
Promises bind the representatives of the promisors in case of the death of such promisors before performance, unless a contrary intention appears from the contract.
Illustrations
(a) A promises to deliver goods to B on a certain day on payment of Rs. 1,000. A dies before that day. Aâ€Ÿs representatives are bound to deliver the goods to B, and B is bound to pay the Rs. 1,000 to Aâ€Ÿs representatives.
(b) A promises to paint a picture for B by a certain day, at a certain price. A dies before the day. The contract cannot be enforced either by Aâ€Ÿs representatives or by B.
"
23,"Where a promisor has made an offer of performance to the promisee, and the offer has not been accepted, the promisor is not responsible for non-performance, nor does he thereby lose his rights under the contract.
Every such offer must fulfil the following conditions:â€”
(1) it must be unconditional;
(2) it must be made at a proper time and place, and under such circumstances that the person to whom it is made may have a reasonable opportunity of ascertaining that the person by whom it is made is able and willing there and then to do the whole of what he is bound by his promise to do;
(3) if the offer is an offer to deliver anything to the promisee, the promisee must have a reasonable opportunity of seeing that the thing offered is the thing which the promisor is bound by his promise to deliver.
An offer to one of several joint promisees has the same legal consequences as an offer to all of them.
Illustration
A contracts to deliver to B at his warehouse, on the 1st March, 1873, 100 bales of cotton of a particular quality. In order to make an offer of a performance with the effect stated in this section, A must bring the cotton to Bâ€Ÿs warehouse, on the appointed day, under such circumstances that B may have areasonable opportunity of satisfying himself that the thing offered is cotton of the quality contracted for, and that there are 100 bales.
"
24,"When a party to a contract has refused to perform, or disabled himself from performing, his promise in its entirety, the promisee may put an end to the contract, unless he has signified, by words or conduct, his acquiescence in its continuance.
Illustrations
(a) A, a singer, enters into a contract with B, the manager of a theatre, to sing at his theatre two nights in every week during the next two months, and B engages to pay her 100 rupees for each nightâ€Ÿs performance. On the sixth night A wilfully absents herself from the theatre. B is at liberty to put an end to the contract.
(b) A, a singer, enters into a contract with B, the manager of a theatre, to sing at his theatre two nightâ€Ÿs in every week during the next two months, and B engages to pay her at the rate of 100 rupees for each night. On the sixth night, A wilfully absents herself. With the assent of B, A sings on the seventh night. B has signified his acquiescence in the continuance of the contract, and cannot now put an end to it, but is entitled to compensation for the damage sustained by him through Aâ€Ÿs failure to sing on the sixth night.
"
25,"If it appears from the nature of the case that it was the intention of the parties to any contract that any promise contained in it should be performed by the promisor himself, such promise must be performed by the promisor. In other cases, the promisor or his representatives may employ a competent person to perform it.
Illustrations
(a) A promises to pay B a sum of money. A may perform this promise, either by personally paying the money to B or by causing it to be paid to B by another ; and, if A dies before the time appointed for payment, his representatives must perform the promise, or employ some proper person to do so.
(b) A promises to paint a picture for B. A must perform this promise personally.
"
26,"When a promisee accepts performance of the promise from a third person, he cannot afterwards enforce it against the promisor.
"
27,"When two or more persons have made a joint promise, then, unless a contrary intention appears by the contract, all such persons, during their joint lives, and, after the death of any of them, his representative jointly with the survivor or survivors, and, after the death of the last survivor, the representatives of all jointly, must fulfil the promise.
"
28,"When two or more persons make a joint promise, the promisee may, in the absence of express agreement to the contrary, compel any 1[one or more] of such joint promisors to perform the whole of the promise.
Each promisor may compel contribution.â€”Each of two or more joint promisors may compel every other joint promisor to contribute equally with himself to the performance of the promise, unless a contrary intention appears from the contract.
Sharing of loss by default in contribution.â€”If any one of two or more joint promisors makes default in such contribution, the remaining joint promisors must bear the loss arising from such default in equal shares.
Explanation.â€”Nothing in this section shall prevent a surety from recovering from his principal, payments made by the surety on behalf of the principal, or entitle the principal to recover anything from the surety on account of payments made by the principal.
Illustrations
(a) A, B and C jointly promise to pay D 3,000 rupees. D may compel either A or B or C to pay him 3,000 rupees.
(b) A, B and C jointly promise to pay D the sum of 3,000 rupees. C is compelled to pay the whole. A is insolvent, but his assets are sufficient to pay one-half of his debts. C is entitled to receive 500 rupees from Aâ€Ÿs estate, and 1,250 rupees from B.
(c) A, B and C are under a joint promise to pay D 3,000 rupees. C is unable to pay anything, and A is compelled to pay the whole. A is entitled to receive 1,500 rupees from B.
(d) A, B and C are under a joint promise to pay D 3,000 rupees, A and B being only sureties for C. C fails to pay. A and B are compelled to pay the whole sum. They are entitled to recover it from C.
"
29,"Where two or more persons have made a joint promise, a release of one of such joint promisors by the promisee does not discharge the other joint promisor or joint promisors; neither does it free the joint promisors so released from responsibility to the other joint promisor or joint promisors.1
"
30,"When a person has made a promise to two or more persons jointly, then, unless a contrary intention appears from the contract, the right to claim performance rests, as between him and them, with them during their joint lives, and, after the death of any of them, with the representative of such deceased person jointly with the survivor or survivors, and, after the death of the last survivor, with the representatives of all jointly.2
Illustration
A, in consideration of 5,000 rupees, lent to him by B and C, promises B and C jointly to repay them that sum with interest on a day specified. B dies. The right to claim performance rests with Bâ€Ÿs representative jointly with C during Câ€Ÿs life, and after the death of C with the representatives of B and C jointly.
"
31,"Where, by the contract, a promisor is to perform his promise without application by the promisee, and no time for performance is specified, the engagement must be performed within a reasonable time.
Explanation.â€”The question â€œwhat is a reasonable timeâ€ is, in each particular case, a question of fact.
"
32,"When a promise is to be performed on a certain day, and the promisor has undertaken to perform it without application by the promisee, the promisor may perform it at any time during the usual hours of business on such day and at the place at which the promise ought to be performed.
Illustration
A promises to deliver goods at Bâ€Ÿs warehouse on the first January. On that day A brings the goods to Bâ€Ÿs warehouse, but after the usual hour for closing it, and they are not received. A has not performed his promise.
"
33,"When a promise is to be performed on a certain day, and the promisor has not undertaken to perform it without application by the promisee, it is the duty of the promisee to apply for performance at a proper place and within the usual hours of business.
Explanation.â€”The question â€œwhat is a proper time and placeâ€ is, in each particular case, a question of fact.
"
34,"When a promise is to be performed without application by the promisee, and no place is fixed for the performance of it, it is the duty of the promisor to apply to the promisee to appoint a reasonable place for the performance of the promise, and to perform it at such place.
Illustration
A undertakes to deliver a thousand maunds of jute to B on a fixed day. A must apply to B to appoint a reasonable place for the purpose of receiving it, and must deliver it to him at such place.
"
35,"The performance of any promise may be made in any manner, or at any time which the promisee prescribes or sanctions.
Illustrations
(a) B owes A 2,000 rupees. A desires B to pay the amount to Aâ€Ÿs account with C, a banker. B, who also banks with C, orders the amount to be transferred from his account to Aâ€Ÿs credit, and this is done by C. Afterwards, and before A knows of the transfer, C fails. There has been a good payment by B.
(b) A and B are mutually indebted. A and B settle an account by setting off one item against another, and B pays A the balance found to be due from him upon such settlement. This amounts to a payment by A and B, respectively, of the sums which they owed to each other.
(c) A owes B 2,000 rupees. B accepts some of Aâ€Ÿs goods in reduction of the debt. The delivery of goods operates as a part payment.
(d) A desires B, who owes him Rs. 100, to send him a note for Rs. 100 by post. The debt is discharged as soon as B puts into the post a letter containing the note duly addressed to A.
"
36,"When a contract consists of reciprocal promises to be simultaneously performed, no promisor need perform his promise unless the promisee is ready and willing to perform his reciprocal promise.
Illustrations
(a) A and B contract that A shall deliver goods to B to be paid for by B on delivery.
A need not deliver the goods, unless B is ready and willing to pay for the goods on delivery.
B need not pay for the goods, unless A is ready and willing to deliver them on payment.
(b) A and B contract that A shall deliver goods to B at a price to be paid by instalments, the first instalment to be paid on delivery.
A need not deliver, unless B is ready and willing to pay the first instalment on delivery.
B need not pay the first instalment, unless A is ready and willing to deliver the goods on payment of the first instalment.
"
37,"Where the order in which reciprocal promises are to be performed is expressly fixed by the contract, they shall be performed in that order; and where the order is not expressly fixed by the contract, they shall be performed in that order which the nature of the transaction requires.
Illustrations
(a) A and B contract that A shall build a house for B at a fixed price. Aâ€Ÿs promise to build the house must be performed before Bâ€Ÿs promise to pay for it.
(b) A and B contract that A shall make over his stock-in-trade to B at a fixed price, and B promises to give security for the payment of the money. Aâ€Ÿs promise need not be performed until the security is given, for the nature of the transaction requires that A should have security before he delivers up his stock.
"
38,"When a contract contains reciprocal promises, and one party to the contract prevents the other from performing his promise, the contract becomes voidable at the option of the party so prevented; and he is entitled to compensation 1from the other party for any loss which he may sustain in consequence of the non- performance of the contract. Illustration A and B contract that B shall execute certain work for A for a thousand rupees. B is ready and willing to execute the work accordingly, but A prevents him from doing so. The contract is voidable at the option of B; and, if he elects to rescind it, he is entitled to recover from A compensation for any loss which he has incurred by its non-performance.
"
39,"When a contract consists of reciprocal promises, such that one of them cannot be performed, or that its performance cannot be claimed till the other has been performed, and the promisor of the promise last mentioned fails to perform it, such promisor cannot claim the performance of the reciprocal promise, and must make compensation to the other party to the contract for any loss which such other party may sustain by the non-performance of the contract. Illustrations (a) A hires Bâ€Ÿs ship to take in and convey, from Calcutta to the Mauritius, a cargo to be provided by A, B receiving a certain freight for its conveyance. A does not provide any cargo for the ship. A cannot claim the performance of Bâ€Ÿs promise, and must make compensation to B for the loss which B sustains by the non-performance of the contract. (b) A contracts with B to execute certain builderâ€Ÿs work for a fixed price, B supplying the scaffolding and timber necessary for the work. B refuses to furnish any scaffolding or timber, and the work cannot be executed. A need not execute the work, and B is bound to make compensation to A for any loss caused to him by the non-performance of the contract. (c) A contracts with B to deliver to him, at a specified price, certain merchandise on board a ship which cannot arrive for a month, and B engages to pay for the merchandise within a week from the date of the contract. B does not pay within the week. Aâ€Ÿs promise to deliver need not be performed, and B must make compensation. (d) A promises B to sell him one hundred bales of merchandise, to be delivered next day, and B promises A to pay for them within a month. A does not deliver according to his promise. Bâ€Ÿs promise to pay need not be performed, and A must make compensation.
"
40,"When a party to a contract promises to do a certain thing at or before a specified time, or certain things at or before specified times, and fails to do any such thing at or before the specified time, the contract, or so much of it as has not been performed, becomes voidable at the option of the promisee, if the intention of the parties was that time should be of the essence of the contract. Effect of such failure when time is not essential.â€”If it was not the intention of the parties that time should be of the essence of the contract, the contract does not become voidable by the failure to do such thing at or before the specified time; but the promisee is entitled to compensation from the promisor for any loss occasioned to him by such failure. Effect of acceptance of performance at time other than that agreed upon.â€”If, in case of a contract voidable on account of the promisorâ€Ÿs failure to perform his promise at the time agreed, the promisee accepts performance of such promise at any time other than that agreed, the promisee cannot claim compensation for any loss occasioned by the non-performance of the promise at the time agreed, unless, at the time of such acceptance, he gives notice to the promisor of his intention to do so.2 STATE AMENDMENT Uttar Pradesh Amendment of section 55.â€”In section 55 of the Principal Act, in the third paragraph, for the words â€œunless at the time of such acceptance he gives notice to the promiser of his intention to do soâ€, the words â€œwhere at the time of such acceptance he has waived his right to do soâ€ shall be substituted.â€
[Vide Uttar Pradesh 57 of 1976, s. 26]
"
41,"An agreement to do an act impossible in itself is void.
Contract to do an act afterwards becoming impossible or unlawful.â€”A contract to do an act which, after the contract is made, becomes impossible, or, by reason of some event which the promisor could not prevent, unlawful, becomes void when the act becomes impossible or unlawful.1
Compensation for loss through non-performance of act known to be impossible or unlawful.â€” Where one person has promised to do something which he knew, or, with reasonable diligence, might have known, and which the promisee did not know, to be impossible or unlawful, such promisor must make compensation to such promisee for any loss which such promisee sustains through the non- performance of the promise.
Illustrations
(a) A agrees with B to discover treasure by magic. The agreement is void.
(b) A and B contract to marry each other. Before the time fixed for the marriage, A goes mad. The contract becomes void.
(c) A contracts to marry B, being already married to C, and being forbidden by the law to which he is subject to practise polygamy, A must make compensation to B for the loss caused to her by the non-performance of his promise.
(d) A contracts to take in cargo for B at a foreign port. Aâ€Ÿs Government afterwards declares war against the country in which the port is situated. The contract becomes void when war is declared.
(e) A contracts to act at a theatre for six months in consideration of a sum paid in advance by B. On several occasions A is too ill to act. The contract to act on those occasions becomes void.
"
42,"Where persons reciprocally promise, firstly, to do certain things which are legal, and, secondly, under specified circumstances, to do certain other things which are illegal, the first set of promises is a contract, but the second is a void agreement.
Illustration
A and B agree that A shall sell B a house for 10,000 rupees, but that, if B uses it as a gambling house, he shall pay A 50,000 rupees for it.
The first set of reciprocal promises, namely, to sell the house and to pay 10,000 rupees for it, is a contract.
The second set is for an unlawful object, namely, that B may use the house as a gambling house, and is a void agreement.
"
43,"In the case of an alternative promise, one branch of which is legal and the other illegal, the legal branch alone can be enforced.
Illustration
A and B agree that A shall pay B 1,000 rupees, for which B shall afterwards deliver to A either rice or smuggled opium.
This is a valid contract to deliver rice, and a void agreement as to the opium.
"
44,"Where a debtor, owing several distinct debts to one person, makes a payment to him, either with express intimation, or under circumstances implying, that the payment is to be applied to the discharge of some particular debt, the payment, if accepted, must be applied accordingly.
Illustrations
(a) A owes B, among other debts, 1,000 rupees upon a promissory note which falls due on the first June. He owes B no other debt of that amount. On the first June, A pays to B 1,000 rupees. The payment is to be applied to the discharge of the promissory note.
(b) A owes to B, among other debts, the sum of 567 rupees. B writes to A and demands payment of this sum. A sends to B 567 rupees. This payment is to be applied to the discharge of the debt of which B had demanded payment.
"
45,"Where the debtor has omitted to intimate and there are no other circumstances indicating to which debt the payment is to be applied, the creditor may apply it at his discretion to any lawful debt actually due and payable to him from the debtor, whether its recovery is or is not barred by the law in force for the time being as to the limitation of suits.
"
46,"Where neither party makes any appropriation, the payment shall be applied in discharge of the debts in order of time, whether they are or are not barred by the law in force for the time being as to the limitation of suits. If the debts are of equal standing, the payment shall be applied in discharge of each proportionably.
"
47,"If the parties to a contract agree to substitute a new contract for it, or to rescind or alter it, the original contract, need not be performed.
Illustrations
(a) A owes money to B under a contract. It is agreed between A, B and C that B shall thenceforth accept C as his debtor, instead of A. The old debt of A to B is at an end, and a new debt from C to B has been contracted.
(b) A owes B 10,000 rupees. A enters into an arrangement with B and gives B a mortgage of his (Aâ€Ÿs) estate for 5,000 rupees in place of the debt of 10,000 rupees. This is a new contract and extinguishes the old.
(c) A owes B 1,000 rupees under a contract. B owes C 1,000 rupees B orders A to credit C with 1,000 rupees in his books, but C does not assent to the arrangement. B still owes C 1,000 rupees, and no new contract has been entered into.
"
48,"Every promisee may dispense with or remit, wholly or in part, the performance of the promisee made to him, or may extend the time for such performance1,or may accept instead of it any satisfaction which he thinks fit.
Illustrations
(a) A promises to paint a picture for B. B afterwards forbids him to do so. A is no longer bound to perform the promise.
(b) A owes B 5,000 rupees. A pays to B, and B accepts, in satisfaction of the whole debt, 2,000 rupees paid at the time and place at which the 5,000 rupees were payable. The whole debt is discharged.
(c) A owes B 5,000 rupees. C pays to B 1,000 rupees, and B accepts them, in satisfaction of his claim on A. This payment is a discharge of the whole claim2.
(d) A owes B, under. a contract, a sum of money, the amount of which has not been ascertained. A, without ascertaining the amount, gives to B, and B, in satisfaction thereof, accepts, the sum of 2,000 rupees. This is a discharge of the whole debt, whatever may be its amount.
(e) A owes B 2,000 rupees, and is also indebted to other creditors. A makes an arrangement with his creditors, including B, to pay them a 3[composition] of eight annas in the rupee upon their respective demands. Payment to B of 1,000 rupees is a discharge of Bâ€Ÿs demand.
"
49,"When a person at whose option a contract is voidable rescinds it, the other party thereto need not perform any promise therein contained in which he is promisor. The party rescinding a voidable contract shall, if he have received any benefit thereunder from another party to such contract, restore such benefit, so far as may be, to the person from whom it was received.4
"
